collected_at,start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,event_type,format,highlights,note,url,welcome_match,member_type
2026/03/13 17:48:00,2026/10/10,14:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 法政大学,明治大学八幡山グラウンド,東京都世田谷区八幡山2-18-10,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
3/22,2026/10/11,16:00,,体育会 バスケットボール部（男子）,明治大 vs 筑波大学,東海大学湘南キャンパス,神奈川県平塚市北金目 4-1-1,,,,ホーム,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
3/22,2026/10/12,16:00,,体育会 バスケットボール部（男子）,明治大 vs 青山学院大学,青山学院大学青山キャンパス,東京都渋谷区渋谷四丁目4番25号,,,,※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
3/22,2026/10/13,11:00,,体育会 バスケットボール部（男子）,明治大 vs 中央大学,筑波大学中央体育館,茨城県つくば市天久保3-1-1,,,,※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
5/9,2026/10/14,,10/18,体育会 ヨット部,全日本インカレ,新西宮ヨットハーバー,兵庫県西宮市西宮浜4丁目16−1,,,,,https://drive.google.com/file/d/1LM36sQK-F901lnCGJPEgRwL4Z14fQcB_/view,,
2026/03/13 17:48:00,2026/10/17,14:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs ⽇本体育大学,明治大学八幡山グラウンド,東京都世田谷区八幡山2-18-10,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
3/22,2026/10/18,13:00,,体育会 バスケットボール部（男子）,明治大 vs 専修大学,専修大学生田キャンパス,神奈川県川崎市多摩区東三田2-1-1,,,,ホーム・※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
3/22,2026/10/19,17:00,,体育会 バスケットボール部（男子）,明治大 vs 白鷗大学,白鵬大学キャンパス,栃木県小山市駅東通り2-2-2.,,,,ホーム・※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
2026/03/13 17:48:00,2026/10/21,18:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 筑波大学,筑波大学第一サッカー場,茨城県つくば市天久保3-1,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
2026/03/13 17:48:00,2026/10/24,14:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 東洋大学,東洋大学朝霞キャンパス・サッカー場,埼玉県朝霞市岡48-1,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
3/22,2026/10/25,11:00,,体育会 バスケットボール部（男子）,明治大 vs 日本大学,白鵬大学キャンパス,栃木県小山市駅東通り2-2-2.,,,,ホーム・※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
3/22,2026/10/26,11:00,,体育会 バスケットボール部（男子）,明治大 vs 早稲田大学,白鵬大学キャンパス,栃木県小山市駅東通り2-2-2.,,,,ホーム・※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
2026/03/13 17:48:00,2026/10/31,14:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 国⼠舘大学,会場名,会場住所,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
3/22,2026/11/01,13:00,,体育会 バスケットボール部（男子）,明治大 vs 神奈川大学,青山学院大学相模原キャンパス,神奈川県相模原市中央区淵野辺5丁目,,,,※会場要確認,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
5/30,2026/11/1,,,体育会 柔道部,インカレ,日本武道館,東京都千代田区北の丸公園2-3,,,,,,,
