team,tournament_name_sample,occurrence_count,years_seen,sample_url
体育会 自転車部,全日本学生TRS第5戦,6,"2023,2024,2025,2026",https://jicf.info/2023_cal/
体育会 自転車部,第65回全日本学生選手権トラック自転車競技大会,3,"2023,2025,2026",https://jicf.info/30019/
体育会 自転車部,第27回全日本学生選手権クリテリウム大会,3,"2023,2025,2026",https://jicf.info/2023_cal/
体育会 自転車部,文部科学大臣杯 第80回 全日本大学対抗選手権自転車競技大会（トラック,2,"2025,2026",https://jicf.info/30021/
体育会 自転車部,全日本学生RCS第1戦・JICFオープンロード,2,"2023,2025",https://jicf.info/2023_cal/
体育会 自転車部,全日本学生RCS第2戦・けいはんなラウンド,2,"2023,2025",https://jicf.info/2023_cal/
体育会 自転車部,第62回東日本学生選手権トラック自転車競技大会,2,"2023,2025",https://jicf.info/2023_cal/
体育会 自転車部,第62回全日本学生選手権 チーム・ロード・タイムトライアル大会,2,"2023,2025",https://jicf.info/2023_cal/
体育会 自転車部,第40回全日本学生選手権個人ロードレース大会,2,"2023,2025",https://jicf.info/2023_cal/
体育会 自転車部,全日本学生RCSオープン戦・草津ナイトレース,2,"2023,2025",https://jicf.info/2023_cal/
体育会 自転車部,全日本学生RCS第5戦・第16回白馬クリテリウムラウンド,2,"2023,2025",https://jicf.info/2023_cal/
体育会 自転車部,文部科学大臣杯 第78回 全日本大学対抗選手権自転車競技大会（トラック）,2,2023,https://jicf.info/2023_cal/
体育会 自転車部,文部科学大臣杯 第77回 全日本大学対抗選手権自転車競技大会（ロード）,2,2023,https://jicf.info/2023_cal/
体育会 自転車部,第58回 全日本学生自転車競技トラック新人戦・東日本大会,2,"2023,2025",https://jicf.info/2023_cal/
体育会硬式野球部,春季リーグ戦,9,2025,https://www.big6.gr.jp/game/league/2025s/2025s_schedule.html
水泳部（水球）,関東学生水球リーグ,2,2025,https://sites.google.com/view/waterpolo-japan-kanto-college/2025/%E8%A9%A6%E5%90%88%E6%97%A5%E7%A8%8B%E7%B5%90%E6%9E%9C/%E7%94%B7%E5%AD%901%E9%83%A8%E3%83%AA%E3%83%BC%E3%82%B0
落語研究会,20代目紫紺亭圓夢襲名披露会,2,2025,https://x.com/yukiusagi_1104/status/1904026693804921290
落語研究会,ギャラリー明神下 寄席 2025,2,2025,https://gallery-myoujinshita.com/event
落語研究会,はなえみ寄席,2,2025,https://x.com/izumiyakiki/status/1916496363963158971
